,model_name,train_f1_score,validation_f1_score,test_f1_score,cross_validation_counter,Best_network_epoch_num 
0,CNN3D,0.461897064860427,0.48314818301638107,0.47922223679799436,0,0
1,CNN3D,0.44098289003104235,0.3230240549828179,0.3120567375886525,1,0
2,CNN3D,0.5157761868971459,0.39439275071458973,0.42759921838151066,2,0
3,CNN3D,0.3690574044546482,0.4183535762483131,0.4409171075837743,3,0
4,CNN3D,0.5489016218007424,0.31393298059964725,0.31578947368421056,4,0
